keys,freq,word1,word2
"""ek kr""",15,ek,kr
"""hai terrorism""",15,hai,terrorism
"""ye bc""",15,ye,bc
"""hindu or""",15,hindu,or
"""ho indian""",15,ho,indian
"""ko toilet""",15,ko,toilet
"""to bht""",15,to,bht
"""so sad""",15,so,sad
"""ke economy""",15,ke,economy
"""to be""",15,to,be
"""ab ye""",15,ab,ye
"""khan ne""",15,khan,ne
"""ho per""",15,ho,per
"""hum to""",15,hum,to
"""ki wo""",15,ki,wo
"""aap to""",15,aap,to
"""tum sy""",15,tum,sy
"""bhai ne""",15,bhai,ne
"""kashmir ko""",15,kashmir,ko
"""ka twitter""",15,ka,twitter
"""b ni""",15,b,ni
"""wese to""",15,wese,to
"""tum sb""",15,tum,sb
"""jo is""",15,jo,is
"""apne crush""",15,apne,crush
"""sir my""",15,sir,my
"""chor kr""",15,chor,kr
"""har chez""",15,har,chez
"""pakistan pakistan""",15,pakistan,pakistan
"""pakistan ky""",15,pakistan,ky
"""he pakistan""",15,he,pakistan
"""h ya""",15,h,ya
"""hai ya""",15,hai,ya
"""aap ny""",15,aap,ny
"""ji please""",15,ji,please
"""apni language""",15,apni,language
"""uski family""",15,uski,family
"""kr ky""",15,kr,ky
"""modi k""",15,modi,k
"""hua h""",15,hua,h
"""he ye""",15,he,ye
"""k pas""",15,k,pas
"""to public""",15,to,public
"""ko police""",15,ko,police
"""ka reply""",15,ka,reply
"""pr to""",15,pr,to
"""ki goad""",15,ki,goad
"""logo se""",15,logo,se
"""ka news""",15,ka,news
"""ke followers""",15,ke,followers
"""ka character""",15,ka,character
"""modi ko""",15,modi,ko
"""ki v""",15,ki,v
"""ka last""",15,ka,last
"""ya fir""",15,ya,fir
"""aap ek""",15,aap,ek
"""ata he""",15,ata,he
"""hain twitter""",15,hain,twitter
"""he ki""",15,he,ki
"""the but""",15,the,but
"""to indian""",15,to,indian
"""i need""",15,i,need
"""karty thy""",15,karty,thy
"""ek terrorist""",15,ek,terrorist
"""bhi wish""",15,bhi,wish
"""pura video""",15,pura,video
"""gaye thy""",15,gaye,thy
"""you can""",15,you,can
