keys,word1,word2,Tweets
"""no words""",no,words,"🦊 no words, but glances convey meaning  #  "
"""no words""",no,words, i have no words this is beyond stupid…
"""no words""",no,words, i have no words to say
"""no words""",no,words,"    i got no words, he's lucky he doesn't use twitter"
"""no words""",no,words,"        no words necessary, the picture says it all. renewable energy can installed and  removed from sites without damage to the environment. also with decentralised energy storage tech that means 24/7 availability of electricity for the grid…. "
"""no words""",no,words,  wtf is wrong with these people. how are they allowed to get away with it. makes me absolutely livid. can’t believe how professional tom remains here. incredible  as for the cretins acting like disgraces… i have no words  or i do but won’t use them 
"""no words""",no,words,i have no words      
"""no words""",no,words,no words can describe this pic 🥰 
"""no words""",no,words,no words ‍‍‍‍‍‍ 
"""no words""",no,words,15 year old boy stabbed literally right in front of us last night 🤬🤬🤬 no words for how vile and how much of a coward you must be to carry a knife
"""no words""",no,words,no words 
"""no words""",no,words, nice to have but not essential   i have no words.  my heart breaks for the people in the uk.  a country without the arts is a very sad place to be. 
"""no words""",no,words,"nice automated voice phone call to the land-line just then…  this is bank security department . i have missed out no words in that quote. ah, ‘bank’."
"""no words""",no,words," no words, just a primordial scream. "
"""no words""",no,words,she is insane.. i have no words   lisa at bvlgari colors   
"""no words""",no,words," ooohh what's that women duo from 80s......there are no words in the english language that can possibly describe just how utterly talentless these plain jane lasses from london were, so i'll say it in german. die beiden war'n total scheisse !"
"""no words""",no,words, we will allege that he knew what the end result was going to be .  seriously no words. none. 
"""no words""",no,words,final season momiji and hiro....i have no words
"""no words""",no,words,people smelling already. i have no words
"""no words""",no,words,no words 
"""no words""",no,words, fr? well damn i have no words.
"""no words""",no,words,  no words 
"""no words""",no,words,eye have no words. just know i will be tuning in tho 
"""no words""",no,words,an article mentioned sana and dahyun as the models of a’pieu who helped able cand c’s japan subsidiary to broke the record for the highest quarterly sales in the first quarter with over 10.3b won… i have no words  link   
"""no words""",no,words,🤣🤣🤣🤣 no words lol 
"""no words""",no,words,"for whatever that is good in me, maharaj took sewa from this man to inspire millions like me through his youtube videos on 'basics of sikhi' . i have no words for how he changed my life. it has been 4 years since he passed away.miss you jagraj singh ji.    "
"""no words""",no,words,i love them so much i have no words to say anymore i love you   
"""no words""",no,words,i have no words for how much of a piss take this is. of course its not the engineers fault he said he would flag it with his manager but tbh that doesn't mean much. we are left here without a date just indefinitely for now without tv or internet. thanks 
"""no words""",no,words,yesterday he again replied on my comment  i'm literally speechless..........   seriously no words to express my feelings that how i'm feeling right now 🥰🥰 
"""no words""",no,words, i have no words 
"""no words""",no,words,  i have no words. 🤨
"""no words""",no,words,no words to describe how fucked up i’m feeling right now   
"""no words""",no,words,"i just watched a video of morning prayer at the presidential palace, while rockets were being fired at it… i have no words. triggered"
"""no words""",no,words,"no words can describe how mad i am at horny men who can't control their dicks thanks to you, we had to face punishments for a crime we didn't even commit"
"""no words""",no,words,no words needed 
"""no words""",no,words,no words. just jaehyun looking like a mafia boss. 
"""no words""",no,words, no words 
"""no words""",no,words," no words,,,!!!"
"""no words""",no,words, i have no words.
